"","y","m","wave","person","village","treated","post","policy"
"1",0.294593554910688,-0.360252741040961,1,1,1,0,0,0
"2",1.04233010527901,0.446412602960913,2,1,1,0,1,0
"3",1.45886779656976,0.588801826466924,3,1,1,0,1,0
"4",-0.357613727573635,0.357762646502966,1,2,1,0,0,0
"5",1.58952585497817,-0.58969523871455,2,2,1,0,1,0
"6",0.151333848867823,-0.0842358363728899,3,2,1,0,1,0
"7",0.820993548553222,1.54337974254362,1,3,1,0,0,0
"8",1.77011579042295,-0.101726267299393,2,3,1,0,1,0
"9",-1.02380196772095,-1.26291180261154,3,3,1,0,1,0
"10",-0.114449819577083,-1.49609004458995,1,4,1,0,0,0
"11",-1.40581012985653,-1.81367156070073,2,4,1,0,1,0
"12",0.0975989894952841,-0.398650879787347,3,4,1,0,1,0
"13",0.484897104972523,0.661323447859985,1,5,1,0,0,0
"14",0.442803569257279,0.75685479836104,2,5,1,0,1,0
"15",0.00772742167426466,1.60239972114048,3,5,1,0,1,0
"16",-0.439307180343972,-1.79665156176776,1,6,1,0,0,0
"17",1.83631836438768,2.07668401001814,2,6,1,0,1,0
"18",-0.778687292740641,-0.667041022300637,3,6,1,0,1,0
"19",1.84155818082087,0.786381920654664,1,7,1,0,0,0
"20",0.162875807574785,-0.498774748470306,2,7,1,0,1,0
"21",0.00163828334080751,0.303328259177452,3,7,1,0,1,0
"22",-2.68542710752765,-1.93887510845168,1,8,1,0,0,0
"23",1.00019785445968,-0.369120699438293,2,8,1,0,1,0
"24",-1.25040909798021,-1.45937290134801,3,8,1,0,1,0
"25",1.06381869994601,0.323536650012329,1,9,1,0,0,0
"26",-0.439146068498634,-1.51484967910322,2,9,1,0,1,0
"27",0.324203865010859,0.408109454984398,3,9,1,0,1,0
"28",0.915605817944992,0.837946642831806,1,10,1,0,0,0
"29",2.16412836879204,0.462454853267027,2,10,1,0,1,0
"30",0.476155983108666,1.69834317589129,3,10,1,0,1,0
"31",-0.915453281267843,0.0094713719184939,1,11,1,0,0,0
"32",0.69522758873111,-0.921270648860327,2,11,1,0,1,0
"33",-1.08983749506178,0.370546278552711,3,11,1,0,1,0
"34",0.628758758124714,0.368469271698974,1,12,1,0,0,0
"35",-0.435702719119347,0.161741020239145,2,12,1,0,1,0
"36",0.774290355026649,-0.708420662087805,3,12,1,0,1,0
"37",0.362797655900458,-0.967004232826663,1,13,1,0,0,0
"38",-0.931030887899989,-0.57467462831029,2,13,1,0,1,0
"39",-2.17564526330095,-0.626608655539753,3,13,1,0,1,0
"40",-0.303800718960464,-0.299438804773356,1,14,1,0,0,0
"41",0.172029876729301,1.57790341432891,2,14,1,0,1,0
"42",1.21112843891387,0.0238648452874222,3,14,1,0,1,0
"43",1.86221244458698,0.827103144848063,1,15,1,0,0,0
"44",-1.16266895293084,-0.798334913662455,2,15,1,0,1,0
"45",-0.824465899981963,-0.396220180813972,3,15,1,0,1,0
"46",-0.260085592861386,0.562903960844556,1,16,1,0,0,0
"47",-1.12300790030021,1.22865355641902,2,16,1,0,1,0
"48",-0.308726834879239,0.494258526439015,3,16,1,0,1,0
"49",1.009125872332,0.219771513640151,1,17,1,0,0,0
"50",-0.506443482489636,1.12279068547755,2,17,1,0,1,0
"51",1.32409328403778,0.368356311096889,3,17,1,0,1,0
"52",1.07257496129924,-0.705343130111298,1,18,1,0,0,0
"53",2.25168713785738,2.62371975230729,2,18,1,0,1,0
"54",-1.30574878365918,-0.765702289007256,3,18,1,0,1,0
"55",-0.175715944015445,-0.308128726748217,1,19,1,0,0,0
